case_id,source_url,source_tier,retrieved_at,jurisdiction,producer_or_brand,laboratory,product_name,product_type,batch_or_lot_id,sample_id,overall_status,coa_date,primary_unit_types,has_cannabinoids,has_terpenes,has_microbials,has_pesticides,has_heavy_metals,has_residual_solvents,has_mycotoxins,has_moisture,has_water_activity,has_foreign_material,has_regulatory_tracking,has_sample_lifecycle,uses_nd,uses_below_limit,uses_not_tested,uses_not_reported,uses_multi_unit,contains_numeric_contaminant_detection,contains_failure,mapping_result,notes
COA-025,https://cdn.shopify.com/s/files/1/0802/6731/3461/files/Rest_Extra_Strength_55mg_30ct_COA.pdf?v=1785962829,primary,2026-09-18T17:10:32Z,Louisiana brand,BakPak,,Rest Extra Strength 30ct,edible,,260713N016,,,%|mg/g|mg/unit|mg/serving|ppm,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-026,https://cdn.shopify.com/s/files/1/0802/6731/3461/files/Space_Debris_400_SS_COA.pdf?v=1785962828,primary,2026-09-18T17:10:32Z,Louisiana brand,BakPak,,Space Debris Strawberry Smash 400mg,edible,,260713N019,,,%|mg/g|mg/unit|mg/serving|ppm,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-027,https://cdn.shopify.com/s/files/1/0802/6731/3461/files/Who_Dat_504_COA.pdf?v=1785962829,primary,2026-09-18T17:10:32Z,Louisiana brand,BakPak,,Who Dat 504mg CBG+THC Variety Pack,edible,,260713N020,,,%|mg/g|mg/unit|mg/serving|ppm,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-028,https://lims.tagleaf.com/coas/Bh861trOf4a3vJ0DthLetWdSnWQON0qnsoyVX0wujddOU0hn2t,primary,2026-09-18T17:10:32Z,Missouri,Show-Me GP,Green Precision Analytics,Vivid Caps Frozen Lemons FECO,concentrate/extract,FCO0106,GPA-260904-133,Pass,,%|mg/g|mg/serving|µg/g,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-029,https://cdn.shopify.com/s/files/1/0802/6731/3461/files/Event_Horizon_COA.pdf?v=1786026656,primary,2026-09-18T17:10:32Z,Louisiana brand,BakPak,,Event Horizon Strawberries n Cream THCP Gummies,edible,,,,,%|mg/g|mg/unit|mg/serving|ppm,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-030,https://lims.tagleaf.com/coas/cWLw21BrOD0tqzzLcFuDuaK37EA058mG30es0T7VqKCZQuMErt,primary,2026-09-18T17:10:32Z,Missouri,Show-Me GP,Green Precision Analytics,Vivid Alien Mintz Live Hash Rosin,concentrate/extract,VHR00270,GPA-260901-036,Pass,,%|mg/g|mg/serving|µg/g,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-031,https://www.gramsbk.com/coa/COA-SNYTCO0903PPRE0030491-GramsVanillaCokeIndica5PackPreroll25g-TCR5PVC901-002.pdf,primary,2026-09-18T17:10:32Z,New York,Grams Brooklyn / ACT Laboratories,ACT Laboratories (NY),Grams Vanilla Coke Indica 5-Pack Preroll 2.5g,pre-roll,TCR-5P-VC-901,SNYTCO0903-PPRE-0030491,,,%|mg/g|mg/unit|CFU/g|µg/g|ng/g,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-032,https://opencoa.org/coa/019ee4ef-9640-739b-a15a-1a1719916a3b/9004-6560-4182-5908,secondary,2026-09-18T17:10:32Z,Connecticut,OpenCOA,,Scorpion Bowl (H) Gummies,edible,,,,,%,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-033,https://www.gramsbk.com/coa/COA-SNYTCO0903PFCU0030485-GramsApplesauceSativaHybridFlower28g-TCRFMA901-002.pdf,primary,2026-09-18T17:10:32Z,New York,Grams Brooklyn / ACT Laboratories,ACT Laboratories (NY),Grams Applesauce Sativa Hybrid Flower 28g,flower,TCR-F-MA-901,SNYTCO0903-PFCU-0030485,,,%|mg/g|mg/unit|CFU/g|µg/g|ng/g,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-034,https://www.8thavenue.us/coas/newCOAS/2605CH0094.0496%20-%20Sammie%20Rizk%20%20-%20Dirty%20Girl%20(Batch%20401).pdf,primary,2026-09-18T17:10:32Z,Texas retail / Oregon laboratory,8th Avenue / ChemHistory,ChemHistory,Dirty Girl (Batch 401),flower/biomass,401,2605CH0094.0496,,,%|mg/g,True,False,True,True,False,True,False,True,False,False,True,True,True,True,False,True,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-035,https://www.8thavenue.us/coas/newCOAS/2605CH0094.0497%20-%20Sammie%20Rizk%20%20-%20Banana%20Sunday%20(Batch%20402).pdf,primary,2026-09-18T17:10:32Z,Texas retail / Oregon laboratory,8th Avenue / ChemHistory,ChemHistory,Banana Sunday (Batch 402),flower/biomass,402,2605CH0094.0497,,,%|mg/g,True,False,True,True,False,True,False,True,False,False,True,True,True,True,False,True,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-036,https://www.8thavenue.us/coas/2511CH0605.2682%20-%20Anderson%20Technology%20and%20Supply%20-%20Modified%20Grapes.pdf,primary,2026-09-18T17:10:32Z,Texas retail / Oregon laboratory,8th Avenue,ChemHistory,Modified Grapes,flower/biomass,,2511CH0605.2682,,,%|mg/g,True,False,True,True,False,True,False,True,False,False,True,True,True,True,False,True,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-037,https://www.8thavenue.us/coas/2511CH0605.2683%20-%20Anderson%20Technology%20and%20Supply%20-%20Amnesia%20Haze.pdf,primary,2026-09-18T17:10:32Z,Texas retail / Oregon laboratory,8th Avenue,ChemHistory,Amnesia Haze,flower/biomass,,2511CH0605.2683,,,%|mg/g,True,False,True,True,False,True,False,True,False,False,True,True,True,True,False,True,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-038,https://www.8thavenue.us/coas/2511CH0605.2684%20-%20Anderson%20Technology%20and%20Supply%20-%20Ghost%20Train%20Haze.pdf,primary,2026-09-18T17:10:32Z,Texas retail / Oregon laboratory,8th Avenue,ChemHistory,Ghost Train Haze,flower/biomass,,2511CH0605.2684,,,%|mg/g,True,False,True,True,False,True,False,True,False,False,True,True,True,True,False,True,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-039,https://www.8thavenue.us/coas/2511CH0605.2685%20-%20Anderson%20Technology%20and%20Supply%20-%20Pineapple%20Venom.pdf,primary,2026-09-18T17:10:32Z,Texas retail / Oregon laboratory,8th Avenue,ChemHistory,Pineapple Venom,flower/biomass,,2511CH0605.2685,,,%|mg/g,True,False,True,True,False,True,False,True,False,False,True,True,True,True,False,True,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-040,https://www.8thavenue.us/coas/2511CH0605.2686%20-%20Anderson%20Technology%20and%20Supply%20-%20Trainwreck.pdf,primary,2026-09-18T17:10:32Z,Texas retail / Oregon laboratory,8th Avenue,ChemHistory,Trainwreck,flower/biomass,,2511CH0605.2686,,,%|mg/g,True,False,True,True,False,True,False,True,False,False,True,True,True,True,False,True,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-041,https://www.8thavenue.us/coas/newCOAS/2605CH0094.0500%20-%20Sammie%20Rizk%20%20-%20Strawberry%20Mimosa%20(Batch%20402).pdf,primary,2026-09-18T17:10:32Z,Texas retail / Oregon laboratory,8th Avenue / ChemHistory,ChemHistory,Strawberry Mimosa (Batch 402),flower/biomass,402,2605CH0094.0500,,,%|mg/g,True,False,True,True,False,True,False,True,False,False,True,True,True,True,False,True,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-042,https://opencoa.org/coa/019c6978-b935-728f-9837-1590c0b1bc83/sb-1227-001,secondary,2026-09-18T17:10:32Z,New York,OpenCOA,,Sha-Boink flower,flower,,,,,%,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-043,https://opencoa.org/coa/019c8845-7be0-7156-a98c-e8f0a3993905/tl0d11725,secondary,2026-09-18T17:10:32Z,New York,OpenCOA,,Tangieland Sun Grown 14g,flower,,,,,%,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,,False,PARTIAL,SOURCE_UNAVAILABLE; Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-044,https://opencoa.org/coa/01a086f4-f32e-7053-b0f7-ce099f9e5f43/w99-3-24-8-12-26,secondary,2026-09-18T17:10:32Z,Massachusetts,OpenCOA,,Cloud Cover White 99 bulk flower,flower,,,,,%,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,,False,PARTIAL,SOURCE_UNAVAILABLE; Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-045,https://opencoa.org/coa/019ee4a5-c643-7389-872b-21444af4ad6a/3291906791395891,secondary,2026-09-18T17:10:32Z,Connecticut,OpenCOA,,CTPharma Moisture pre-roll,pre-roll,,,,,%,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-046,https://opencoa.org/coa/01a0b418-f545-7214-b637-3c67dd23c1d0/77845,secondary,2026-09-18T17:10:32Z,Massachusetts,OpenCOA,,Good News Fast Asleep 5mg gummies,edible,,,,,%,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,,False,PARTIAL,SOURCE_UNAVAILABLE; Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-047,https://opencoa.org/coa/019edfe9-14c0-7224-b64e-0c06733d4e39/2045780563057975,secondary,2026-09-18T17:10:32Z,Connecticut,OpenCOA,,Lighthouse 1g vape,vape,,,,,%,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-048,https://opencoa.org/coa/019dfb42-8a93-705c-bff5-1dbd66ea6161/sblhrc202601,secondary,2026-09-18T17:10:32Z,New York,OpenCOA,,Superboof x Lifehack 1g rosin vape cart,concentrate/vape,,,,,%,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-049,https://opencoa.org/coa/01a0aa3d-d32c-7088-9e50-054636a5066b/260723h5up44a028,secondary,2026-09-18T17:10:32Z,New York,OpenCOA,,GMO live rosin 2g jar,concentrate,,,,,%,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-050,https://opencoa.org/coa/019f9445-ce79-71a5-8388-5880ab0b3cee/weca-f1h4-2026-06-29-p,secondary,2026-09-18T17:10:32Z,Massachusetts,OpenCOA,,Wedding Cake Flower,flower,,,,,%,True,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
